video_id,file_name,source_path,relative_path,file_exists,file_size_bytes,duration_seconds_matrix,duration_seconds_ffprobe,resolution_matrix,resolution_ffprobe,aspect_ratio_matrix,fps,video_codec,audio_present,audio_codec,ffprobe_status,ffprobe_error,ffmpeg_decode_status,ffmpeg_decode_error,frame_timecodes,contact_sheet_created,contact_sheet_status,contact_sheet_path_local_ignored,metadata_validation_note
fv_0011,产后漏尿能自己好吗.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/产后漏尿能自己好吗.mp4,产后漏尿能自己好吗.mp4,true,163026896,117.725,117.725,1080x1920,1080x1920,9:16,60,hevc,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:21.190；00:00:37.672；00:00:56.508；00:01:15.344；00:01:34.180；00:01:57.375,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0011.jpg,technical_validation_only_not_content_validation
fv_0012,你的小肚子凸可能不是胖.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/你的小肚子凸可能不是胖.mp4,你的小肚子凸可能不是胖.mp4,true,51762109,55.519,55.519,1080x1920,1080x1920,9:16,30,hevc,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:09.993；00:00:17.766；00:00:26.649；00:00:35.532；00:00:44.415；00:00:55.169,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0012.jpg,technical_validation_only_not_content_validation
fv_0013,先减肥还是先改善漏尿.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/先减肥还是先改善漏尿.mp4,先减肥还是先改善漏尿.mp4,true,84653846,60.534,60.534,1080x1920,1080x1920,9:16,60,hevc,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:10.896；00:00:19.371；00:00:29.056；00:00:38.742；00:00:48.427；00:01:00.184,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0013.jpg,technical_validation_only_not_content_validation
fv_0014,别再疯狂练收紧可能越练越漏尿.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/别再疯狂练收紧可能越练越漏尿.mp4,别再疯狂练收紧可能越练越漏尿.mp4,true,61259925,43.769,43.769,1080x1920,1080x1920,9:16,60,hevc,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:07.878；00:00:14.006；00:00:21.009；00:00:28.012；00:00:35.015；00:00:43.419,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0014.jpg,technical_validation_only_not_content_validation
fv_0015,单纯练凯格尔能改善漏尿吗.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/单纯练凯格尔能改善漏尿吗.mp4,单纯练凯格尔能改善漏尿吗.mp4,true,253745400,184.134,184.134,1080x1920,1080x1920,9:16,60,hevc,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:33.144；00:00:58.923；00:01:28.384；00:01:57.846；00:02:27.307；00:03:03.784,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0015.jpg,technical_validation_only_not_content_validation
fv_0016,妈妈臀 臀凹陷一个动作饱满臀部.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/妈妈臀 臀凹陷一个动作饱满臀部.mp4,妈妈臀 臀凹陷一个动作饱满臀部.mp4,true,19608357,13.305,13.305,1080x1920,1080x1920,9:16,60,hevc,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:02.395；00:00:04.258；00:00:06.386；00:00:08.515；00:00:10.644；00:00:12.955,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0016.jpg,technical_validation_only_not_content_validation
fv_0017,30岁的女性练八爪鱼要多久6.2（4）.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/30岁的女性练八爪鱼要多久6.2（4）.mp4,已发/30岁的女性练八爪鱼要多久6.2（4）.mp4,true,22927387,17.554,17.554,1080x1920,1080x1920,9:16,30,h264,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:03.160；00:00:05.617；00:00:08.426；00:00:11.235；00:00:14.043；00:00:17.204,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0017.jpg,technical_validation_only_not_content_validation
fv_0018,40岁女性练八爪鱼需要多久呢.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/40岁女性练八爪鱼需要多久呢.mp4,已发/40岁女性练八爪鱼需要多久呢.mp4,true,22250018,16.881,16.881,1080x1920,1080x1920,9:16,30,h264,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:03.039；00:00:05.402；00:00:08.103；00:00:10.804；00:00:13.505；00:00:16.531,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0018.jpg,technical_validation_only_not_content_validation
fv_0019,40岁女性练出J致的盆底肌需要多久？6.1.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/40岁女性练出J致的盆底肌需要多久？6.1.mp4,已发/40岁女性练出J致的盆底肌需要多久？6.1.mp4,true,23675820,18.506,18.506,1080x1920,1080x1920,9:16,30,h264,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:03.331；00:00:05.922；00:00:08.883；00:00:11.844；00:00:14.805；00:00:18.156,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0019.jpg,technical_validation_only_not_content_validation
fv_0020,40岁女性都想拥有灵动蜜桃臀6.15.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/40岁女性都想拥有灵动蜜桃臀6.15.mp4,已发/40岁女性都想拥有灵动蜜桃臀6.15.mp4,true,23509921,18.181,18.181,1080x1920,1080x1920,9:16,30,h264,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:03.273；00:00:05.818；00:00:08.727；00:00:11.636；00:00:14.545；00:00:17.831,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0020.jpg,technical_validation_only_not_content_validation
