recording_id,file_name,source_path,source_dir,source_dir_status,duration_seconds,duration_timecode,resolution,fps,video_codec,audio_present,audio_codec,audio_channels,audio_sample_rate,file_size_bytes,sample_decode_status,sidecar_transcript_or_parse,status,notes
rec_001,5月13日直播素材.MP4,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,/Volumes/WD_BLACK/完整直播录屏/今年直播素材,semantic_nested_path_found: exact three prompt paths missing,6620.640,01:50:20.640,1920x1080,50,h264,yes,pcm_s16be,2,48000,45000076733,sample_decode_ok,none_found,ffprobe_ok_sample_decode_ok,AppleDouble ._* entries excluded; technical validation is not content validation.
rec_002,C5824.MP4,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/C5824.MP4,/Volumes/WD_BLACK/完整直播录屏/今年直播素材,semantic_nested_path_found: exact three prompt paths missing,5898.240,01:38:18.240,1920x1080,50,h264,yes,pcm_s16be,2,48000,40000090154,sample_decode_ok,none_found,ffprobe_ok_sample_decode_ok,AppleDouble ._* entries excluded; technical validation is not content validation.
rec_003,C5825.MP4,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/C5825.MP4,/Volumes/WD_BLACK/完整直播录屏/今年直播素材,semantic_nested_path_found: exact three prompt paths missing,6570.720,01:49:30.720,1920x1080,50,h264,yes,pcm_s16be,2,48000,44563974189,sample_decode_ok,none_found,ffprobe_ok_sample_decode_ok,AppleDouble ._* entries excluded; technical validation is not content validation.
rec_004,C5829.MP4,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/C5829.MP4,/Volumes/WD_BLACK/完整直播录屏/今年直播素材,semantic_nested_path_found: exact three prompt paths missing,6620.640,01:50:20.640,1920x1080,50,h264,yes,pcm_s16be,2,48000,45000076733,sample_decode_ok,none_found,ffprobe_ok_sample_decode_ok,AppleDouble ._* entries excluded; technical validation is not content validation.
