sample_category,pair_id,source_id,video_file_name,video_path,transcript_json_path,transcript_txt_path,status,segment_count,duration_seconds,average_segment_length,max_segment_length,short_segment_ratio,long_segment_count,empty_text_count,timestamp_order_ok,timestamp_within_duration_ok,repeated_text_warning,audio_snippet_count,audio_snippet_failed_count,mechanical_status,needs_user_listen_review,issue_flags,sample_review_pack_dir
正样片,pair_0001,src_scan_0001,10分钟练出紧致 盆底肌.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/10分钟练出紧致 盆底肌.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0001_pair_0001_10分钟练出紧致_盆底肌_94b05251.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0001_pair_0001_10分钟练出紧致_盆底肌_94b05251.txt,success,48,107.0,2.168,5.92,0.0833,0,0,yes,yes,yes,3,0,timecode_mechanical_issue_found_needs_user_review,yes,repeated_text_warning,素材整理_asset_management/04_时间码_timecode/抽检_quality_review/local_review_pack/正样片_src_scan_0001_pair_0001_10分钟练出紧致_盆底肌
正样片,pair_0032,src_scan_0004,30岁的女性练八爪鱼要多久.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/30岁的女性练八爪鱼要多久.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0004_pair_0032_30岁的女性练八爪鱼要多久_5b3ec355.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0004_pair_0032_30岁的女性练八爪鱼要多久_5b3ec355.txt,success,9,17.554,1.933,2.6,0.0,0,0,yes,yes,no,3,0,mechanical_check_passed_pending_user_review,yes,none,素材整理_asset_management/04_时间码_timecode/抽检_quality_review/local_review_pack/正样片_src_scan_0004_pair_0032_30岁的女性练八爪鱼要多久
负样片,pair_0033,src_scan_0063,会跳舞的臀你想拥有吗？.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/负样本成片/会跳舞的臀你想拥有吗？.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0063_pair_0033_会跳舞的臀你想拥有吗？_146468f3.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0063_pair_0033_会跳舞的臀你想拥有吗？_146468f3.txt,success,5,10.634,2.12,2.72,0.0,0,0,yes,yes,no,3,0,mechanical_check_passed_pending_user_review,yes,none,素材整理_asset_management/04_时间码_timecode/抽检_quality_review/local_review_pack/负样片_src_scan_0063_pair_0033_会跳舞的臀你想拥有吗？
负样片,pair_0030,src_scan_0064,跑跳漏水尴尬 一个小球告别尴尬.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/负样本成片/跑跳漏水尴尬 一个小球告别尴尬.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0064_pair_0030_跑跳漏水尴尬_一个小球告别尴尬_6a8a40ce.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0064_pair_0030_跑跳漏水尴尬_一个小球告别尴尬_6a8a40ce.txt,success,13,24.543,1.868,2.32,0.0,0,0,yes,yes,yes,3,0,timecode_mechanical_issue_found_needs_user_review,yes,repeated_text_warning,素材整理_asset_management/04_时间码_timecode/抽检_quality_review/local_review_pack/负样片_src_scan_0064_pair_0030_跑跳漏水尴尬_一个小球告别尴尬
