source_category,relative_path,file_name,file_ext,duration_seconds,width,height,fps,video_codec,audio_codec,file_size_mb,read_status,deep_analysis_rank,deep_analysis_scope
ai_needed_final_video,AI需要的成片/成品/把男人撩到腿软的嘴甜话术.mov,把男人撩到腿软的嘴甜话术.mov,.mov,28.676,1080,1920,30,h264,aac,34.544,read_success,736,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/把自己放在第一位他才会更珍惜你.mov,把自己放在第一位他才会更珍惜你.mov,.mov,45.07,1080,1920,30,h264,aac,54.552,read_success,737,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/抓住他的胃他把你放在第一位.mov,抓住他的胃他把你放在第一位.mov,.mov,32.438,1080,1920,30,h264,aac,39.515,read_success,738,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/按摩操让老公天天想回家.mp4,按摩操让老公天天想回家.mp4,.mp4,17.368,1080,1920,60.000,hevc,aac,27.358,read_success_reused_existing_metadata,739,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/按摩操让老公重回热恋期.mov,按摩操让老公重回热恋期.mov,.mov,21.618,1080,1920,60,h264,aac,38.983,read_success,740,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/掌握主动权解锁夫妻生活新体验.mp4,掌握主动权解锁夫妻生活新体验.mp4,.mp4,51.548,1080,1920,30.000,h264,aac,62.292,read_success_reused_existing_metadata,741,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/掌握这3套比武话术让你的撒娇更有力量.mov,掌握这3套比武话术让你的撒娇更有力量.mov,.mov,70.472,1080,1920,30,h264,aac,84.181,read_success,742,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/撒娇才是王道3招让他对你言听计从.mov,撒娇才是王道3招让他对你言听计从.mov,.mov,52.245,1080,1920,30,h264,aac,62.894,read_success,743,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/是不是女人越胖越有需求.mov,是不是女人越胖越有需求.mov,.mov,29.21,1080,1920,30,h264,aac,34.666,read_success,744,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/暧昧的代价？受伤的永远是你！.mp4,暧昧的代价？受伤的永远是你！.mp4,.mp4,27.283,1080,1920,30.000,h264,aac,33.483,read_success_reused_existing_metadata,745,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/更年期不是终点而是新的起点.mov,更年期不是终点而是新的起点.mov,.mov,40.588,1440,1080,30,h264,aac,49.240,read_success,746,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/更年期不是衰老是女人《作弊码》/更年期不是衰老是女人《作弊码》.mp4,更年期不是衰老是女人《作弊码》.mp4,.mp4,115.217,1080,1906,30.000,h264,aac,137.425,read_success_reused_existing_metadata,747,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/更年期失眠焦虑2个呼吸法带你入睡.mov,更年期失眠焦虑2个呼吸法带你入睡.mov,.mov,72.423,1440,1080,30,h264,aac,86.544,read_success,748,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/更年期女性必知的饮食法则.mov,更年期女性必知的饮食法则.mov,.mov,67.918,1440,1080,30,h264,aac,80.215,read_success,749,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/更年期女性自救指南告别僵硬疼痛.mov,更年期女性自救指南告别僵硬疼痛.mov,.mov,44.118,1440,1080,30,h264,aac,52.988,read_success,750,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/更年期如何保护自己.mp4,更年期如何保护自己.mp4,.mp4,9.845,1080,1920,60.000,hevc,aac,15.713,read_success_reused_existing_metadata,751,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/更年期是妈妈找回自我的机会.mov,更年期是妈妈找回自我的机会.mov,.mov,67.709,1440,1080,30,h264,aac,80.658,read_success,752,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/更年期的前七后八最重要的15年/更年期的前七后八最重要的15年.mov,更年期的前七后八最重要的15年.mov,.mov,100.775,1440,1080,60,h264,aac,178.725,read_success,753,pending_not_analyzed
ai_needed_final_video,AI需要的成片/成品/更年期的肥胖这样做轻解决.mp4,更年期的肥胖这样做轻解决.mp4,.mp4,126.233,1440,1080,30.000,h264,aac,149.675,read_success_reused_existing_metadata,754,pending_not_analyzed
